,encontrado,qtd_comparacoes,id_localizado,n_buscado,vetor,salto,tempo
43,True,5,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",3,0.0021440982818603516
44,True,7,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",4,0.0030410289764404297
45,True,3,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",5,0.0037550926208496094
46,True,6,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",6,0.004472255706787109
47,True,4,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",7,0.0051860809326171875
48,True,9,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",8,0.00589299201965332
49,True,8,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",9,0.006564140319824219
50,True,7,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",10,0.007328987121582031
51,True,6,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",11,0.008031129837036133
52,True,4,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",12,0.008830070495605469
